Food Category,Meal Type,Calories,Protein,Carbs,Fat,Saturated Fat,Fiber,Sugar,Sodium,Water
Grains,Dinner,365,13.0,74.0,2.5,0.4,7.3,0.7,9,10.1
SEAL,Breakfast,270,62.4,0.0,2.3,0.5,0.0,0.0,130,34.9
Fruits,Dinner,89,1.1,22.8,0.3,0.1,4.4,15.2,2,74.9
JELLIES,Breakfast,278,0.1,69.0,0.1,0.0,0.2,68.9,32,30.6
LEMONADE,Dinner,41,0.0,10.3,0.0,0.0,0.0,10.1,2,89.7
POLLOCK,Dinner,92,20.4,0.0,0.9,0.2,0.0,0.0,86,78.2
JUICE,Lunch,46,0.1,11.3,0.1,0.0,0.2,9.6,4,88.2
Fruits,Snack,52,0.3,13.8,0.2,0.1,2.4,10.4,1,85.4
Meat,Snack,250,26.0,0.0,15.4,6.2,0.0,0.0,65,58.0
Fruits,Dinner,89,1.1,22.8,0.3,0.1,4.4,15.2,2,74.9
PIE,Dinner,237,2.4,34.9,9.7,2.4,1.1,14.1,288,52.2
TURKEY,Lunch,150,29.6,0.0,2.6,0.9,0.0,0.0,67,67.6
Dairy,Breakfast,61,3.4,4.7,3.3,2.0,0.0,4.7,44,87.9
Grains,Breakfast,365,13.0,74.0,2.5,0.4,7.3,0.7,9,10.1
MILKFISH,Lunch,162,20.5,0.0,8.1,2.3,0.0,0.0,78,70.0
Vegetables,Lunch,25,2.8,4.8,0.4,0.1,2.6,2.3,33,89.3
MACKEREL,Snack,262,23.9,0.0,17.8,4.2,0.0,0.0,83,53.3
Grains,Dinner,365,13.0,74.0,2.5,0.4,7.3,0.7,9,10.1
VANILLA EXTRACT,Dinner,288,0.1,12.6,0.1,0.0,0.0,12.6,9,83.3
Beverages,Lunch,42,0.1,10.6,0.0,0.0,0.0,10.6,2,89.3
GRAVY,Dinner,89,2.8,6.4,6.7,1.7,0.4,0.8,1076,82.1
EMU,Lunch,145,21.4,0.0,6.3,2.0,0.0,0.0,45,71.3
Beverages,Breakfast,39,0.1,9.8,0.0,0.0,0.0,9.6,5,90.1
Fruits,Dinner,89,1.1,22.8,0.3,0.1,4.4,15.2,2,74.9
Snacks,Lunch,534,5.3,65.1,27.9,12.4,2.1,38.5,393,2.1
SEA BASS,Breakfast,97,18.4,0.0,2.0,0.5,0.0,0.0,68,78.3
Vegetables,Dinner,25,2.8,4.8,0.4,0.1,2.6,2.3,33,89.3
