Food Category,Meal Type,Calories,Protein,Carbs,Fat,Saturated Fat,Fiber,Sugar,Sodium,Water
cream cheese,Lunch,51.0,0.9,0.8,5.0,2.9,0.0,0.5,0.016,7.6
neufchatel cheese,Snack,215.0,7.8,3.1,19.4,10.9,0.0,2.7,0.3,53.6
requeijao cremoso light catupiry,Breakfast,49.0,0.8,0.9,3.6,2.3,0.1,3.4,0.0,0.0
ricotta cheese,Lunch,30.0,1.5,1.5,2.0,1.3,0.0,0.091,0.017,14.7
cream cheese low fat,Meal,30.0,1.2,1.2,2.3,1.4,0.0,0.9,0.046,10.0
cream cheese fat free,Meal,19.0,2.8,1.4,0.2,0.1,0.0,1.0,0.1,12.9
gruyere cheese,Lunch,116.0,8.3,0.1,9.1,5.3,0.0,0.1,0.2,9.3
cheddar cheese,Snack,113.0,6.4,0.9,9.3,5.3,0.0,0.1,0.2,10.3
parmesan cheese,Lunch,71.0,6.4,0.6,4.5,2.7,0.0,0.046,0.2,5.4
romano cheese,Breakfast,19.0,1.6,0.2,1.3,0.9,0.0,0.088,0.008,1.5
parmesan cheese grated,Lunch,21.0,1.4,0.7,1.4,0.8,0.0,0.075,0.043,1.1
port salut cheese,Snack,465.0,31.4,0.8,37.2,22.0,0.0,0.8,0.7,60.0
swiss cheese,Lunch,98.0,6.7,0.4,7.7,4.6,0.0,0.0,0.057,9.4
goat cheese hard,Breakfast,128.0,8.6,0.6,10.1,7.0,0.0,0.6,0.076,8.2
gouda cheese,Meal,100.0,7.0,0.6,7.7,4.9,0.0,0.6,0.2,11.6
pepper jack cheese lucerne,Lunch,75.0,5.0,0.0,6.0,4.0,2.5,0.0,0.0,0.0
caraway cheese,Meal,106.0,7.1,0.9,8.3,5.3,0.0,0.0,0.2,11.1
gjetost cheese,Meal,1058.0,21.9,96.8,67.0,43.5,0.0,0.0,1.4,30.5
tilsit cheese,Lunch,136.0,9.8,0.8,10.4,6.7,0.0,0.0,0.3,17.1
goat cheese,Lunch,103.0,6.1,0.009,8.4,5.8,0.0,0.031,0.1,12.9
brick cheese,Meal,111.0,7.0,0.8,8.9,5.6,0.0,0.2,0.2,12.3
