Food Category,Meal Type,Calories,Protein,Carbs,Fat,Saturated Fat,Fiber,Sugar,Sodium,Water,calorie_level,protein_level,fiber_level,prot_ratio,carb_ratio,fat_ratio,fiber_per_100kcal,sugar_per_100kcal,density_kcal_100g,satiety_index,balance_score
cream cheese,Lunch,51.0,0.9,0.8,5.0,2.9,0.0,0.5,0.016,7.6,Faible,Faible,,0.07058823529411765,0.06274509803921569,0.8823529411764706,0.0,0.9803921568627451,0.51,0.7483443708609272,0.7058702207240632
neufchatel cheese,Snack,215.0,7.8,3.1,19.4,10.9,0.0,2.7,0.3,53.6,Moyen,Moyen,,0.14511627906976743,0.05767441860465117,0.8120930232558139,0.0,1.2558139534883723,2.15,3.06984126984127,0.7163814804004632
requeijao cremoso light catupiry,Breakfast,49.0,0.8,0.9,3.6,2.3,0.1,3.4,0.0,0.0,Faible,Faible,Faible,0.0653061224489796,0.07346938775510205,0.6612244897959183,0.20408163265306123,6.938775510204081,0.49,-0.0939597315436241,0.715274788172458
ricotta cheese,Lunch,30.0,1.5,1.5,2.0,1.3,0.0,0.091,0.017,14.7,Faible,Faible,,0.2,0.2,0.6,0.0,0.30333333333333334,0.3,1.6982307692307692,0.7232815532065239
cream cheese low fat,Meal,30.0,1.2,1.2,2.3,1.4,0.0,0.9,0.046,10.0,Faible,Faible,,0.16,0.16,0.69,0.0,3.0,0.3,1.0999999999999999,0.7169698806632925
cream cheese fat free,Meal,19.0,2.8,1.4,0.2,0.1,0.0,1.0,0.1,12.9,Faible,Faible,,0.5894736842105263,0.29473684210526313,0.09473684210526316,0.0,5.2631578947368425,0.19,2.642857142857143,0.7766247834399245
gruyere cheese,Lunch,116.0,8.3,0.1,9.1,5.3,0.0,0.1,0.2,9.3,Moyen,Moyen,,0.28620689655172415,0.003448275862068966,0.7060344827586206,0.0,0.08620689655172414,1.16,4.043981481481482,0.7381864136513583
cheddar cheese,Snack,113.0,6.4,0.9,9.3,5.3,0.0,0.1,0.2,10.3,Moyen,Moyen,,0.2265486725663717,0.03185840707964602,0.7407079646017699,0.0,0.08849557522123895,1.13,3.232394366197183,0.7292620129082644
parmesan cheese,Lunch,71.0,6.4,0.6,4.5,2.7,0.0,0.046,0.2,5.4,Faible,Moyen,,0.36056338028169016,0.03380281690140845,0.5704225352112676,0.0,0.0647887323943662,0.71,3.892514619883041,0.7498351786670826
romano cheese,Breakfast,19.0,1.6,0.2,1.3,0.9,0.0,0.088,0.008,1.5,Faible,Faible,,0.3368421052631579,0.042105263157894736,0.6157894736842106,0.0,0.46315789473684205,0.19,1.3853781512605043,0.744762205379657
parmesan cheese grated,Lunch,21.0,1.4,0.7,1.4,0.8,0.0,0.075,0.043,1.1,Faible,Faible,,0.26666666666666666,0.13333333333333333,0.6,0.0,0.35714285714285715,0.21,1.1838842975206612,0.7334905128624258
port salut cheese,Snack,465.0,31.4,0.8,37.2,22.0,0.0,0.8,0.7,60.0,Élevé,Élevé,,0.2701075268817204,0.006881720430107527,0.72,0.0,0.17204301075268816,4.65,6.046017699115043,0.7357912118466358
swiss cheese,Lunch,98.0,6.7,0.4,7.7,4.6,0.0,0.0,0.057,9.4,Faible,Moyen,,0.27346938775510204,0.0163265306122449,0.7071428571428571,0.0,0.0,0.98,3.621212121212121,0.7361896216747545
goat cheese hard,Breakfast,128.0,8.6,0.6,10.1,7.0,0.0,0.6,0.076,8.2,Moyen,Moyen,,0.26875,0.01875,0.7101562499999999,0.0,0.46875,1.28,3.872807017543859,0.7353388156360857
gouda cheese,Meal,100.0,7.0,0.6,7.7,4.9,0.0,0.6,0.2,11.6,Faible,Moyen,,0.28,0.024,0.693,0.0,0.6,1.0,3.7,0.7368530547973212
pepper jack cheese lucerne,Lunch,75.0,5.0,0.0,6.0,4.0,2.5,0.0,0.0,0.0,Faible,Faible,Moyen,0.26666666666666666,0.0,0.72,3.3333333333333335,0.0,0.75,4.0,0.748745476001736
caraway cheese,Meal,106.0,7.1,0.9,8.3,5.3,0.0,0.0,0.2,11.1,Moyen,Moyen,,0.2679245283018868,0.033962264150943396,0.7047169811320755,0.0,0.0,1.06,3.716019417475728,0.7346908548454129
tilsit cheese,Lunch,136.0,9.8,0.8,10.4,6.7,0.0,0.0,0.3,17.1,Moyen,Moyen,,0.2882352941176471,0.023529411764705882,0.6882352941176472,0.0,0.0,1.36,4.514830508474576,0.7380166399160069
goat cheese,Lunch,103.0,6.1,0.009,8.4,5.8,0.0,0.031,0.1,12.9,Moyen,Moyen,,0.23689320388349513,0.0003495145631067961,0.7339805825242719,0.0,0.030097087378640777,1.03,3.3180788177339897,0.7325592677856986
brick cheese,Meal,111.0,7.0,0.8,8.9,5.6,0.0,0.2,0.2,12.3,Moyen,Moyen,,0.25225225225225223,0.02882882882882883,0.7216216216216217,0.0,0.18018018018018017,1.11,3.5805687203791465,0.7327068703117426
asadero cheese,Meal,402.0,25.5,3.2,31.9,20.3,0.0,3.2,0.7,47.6,Élevé,Élevé,,0.2537313432835821,0.0318407960199005,0.7141791044776119,0.0,0.7960199004975126,4.02,5.362549800796812,0.7328697574072097
camembert cheese,Meal,90.0,5.9,0.1,7.3,4.6,0.0,0.1,0.3,15.5,Faible,Moyen,,0.26222222222222225,0.0044444444444444444,0.73,0.0,0.11111111111111112,0.9,3.497368421052632,0.7347460403432439
provolone cheese reduced fat,Meal,310.0,27.9,4.0,19.9,12.8,0.0,0.6,1.0,57.2,Élevé,Élevé,,0.36,0.05161290322580645,0.577741935483871,0.0,0.1935483870967742,3.1,7.458536585365854,0.7482398365014096
roquefort cheese,Lunch,314.0,18.3,1.7,26.0,16.4,0.0,0.0,1.5,33.5,Élevé,Élevé,,0.23312101910828026,0.02165605095541401,0.7452229299363057,0.0,0.0,3.14,4.82487922705314,0.7302935900182468
queso blanco cheese,Lunch,366.0,24.0,3.0,28.7,16.1,0.0,2.1,0.8,57.5,Élevé,Élevé,,0.26229508196721313,0.03278688524590164,0.7057377049180328,0.0,0.5737704918032787,3.66,5.631974248927039,0.7340635952039047
queso seco cheese,Snack,315.0,23.8,2.0,23.6,13.3,0.0,0.5,1.8,40.9,Élevé,Élevé,,0.3022222222222222,0.025396825396825397,0.6742857142857143,0.0,0.15873015873015872,3.15,6.19156626506024,0.7398208864773423
goat cheese soft,Lunch,75.0,5.2,0.0,6.0,4.1,0.0,0.3,0.1,17.2,Faible,Moyen,,0.2773333333333333,0.0,0.72,0.0,0.39999999999999997,0.75,3.411428571428572,0.7368189790918643
mozzarella cheese,Snack,90.0,6.7,0.7,6.6,4.2,0.0,0.0,0.1,15.0,Faible,Moyen,,0.2977777777777778,0.03111111111111111,0.66,0.0,0.0,0.9,3.921052631578948,0.7398289997405463
