Food Category,Meal Type,Calories,Protein,Carbs,Fat,Saturated Fat,Fiber,Sugar,Sodium,Water,calorie_level,protein_level,fiber_level,prot_ratio,carb_ratio,fat_ratio,fiber_per_100kcal,sugar_per_100kcal,density_kcal_100g,satiety_index,balance_score
cream cheese,Lunch,52.266621090178646,0.8140385618423528,0.7645131362307294,4.881131394901766,2.9,0.0,0.5240928329229211,0.016,7.680544925301832,Faible,Faible,,0.06229892266141437,0.058508708285120885,0.8405016585598472,0.0,1.0027275903125334,0.5226662109017864,0.6835627866294743,0.7058702207240632
neufchatel cheese,Snack,213.51365876240976,8.033288095166322,3.076301883091238,19.92191241311507,10.9,0.0,2.5632540993028314,0.3,55.47426430572787,Moyen,Moyen,,0.1504969397106578,0.057631945169492854,0.8397458594337761,0.0,1.2005100346508002,2.1351365876240975,3.201782378569027,0.7163814804004632
requeijao cremoso light catupiry,Breakfast,50.5868369183467,0.8519672501051674,0.8811049856256294,3.712109461375776,2.3,0.09636851730361012,3.703573357406507,0.0,0.0,Faible,Faible,Faible,0.06736671317391658,0.06967069078702566,0.6604284143299913,0.1905007956088749,7.321205004731779,0.505868369183467,-0.1208671003379854,0.715274788172458
ricotta cheese,Lunch,32.28454478461204,1.4313024313976137,1.4470821601682915,1.864658075847031,1.3,0.0,0.08967765541661354,0.017,15.63336607923945,Faible,Faible,,0.17733592300745002,0.17929100441091197,0.5198128787248462,0.0,0.2777718510298028,0.3228454478461204,1.6525493906291127,0.7232815532065239
cream cheese low fat,Meal,29.648769937914995,1.1072862531000796,1.208071544381695,2.355921539884713,1.4,0.0,0.937694334549075,0.046,10.176234140653255,Faible,Faible,,0.14938713721641342,0.1629843674682389,0.7151491676792422,0.0,3.1626646698933745,0.2964876993791499,1.0295428644692979,0.7169698806632925
cream cheese fat free,Meal,18.777569890898278,2.9124642459832955,1.4254370869072959,0.1849358746895731,0.1,0.0,1.0146092014408028,0.1,13.538999321361752,Faible,Faible,,0.6204134204376782,0.30364674860010205,0.08863888102869175,0.0,5.403275312303759,0.18777569890898277,2.7657001693472676,0.7766247834399245
gruyere cheese,Lunch,125.15943432994287,7.616809840120906,0.10125386004864922,8.806591849282649,5.3,0.0,0.09144751799875722,0.2,10.239157203308533,Moyen,Moyen,,0.24342742742619827,0.0032359960647545516,0.6332668922211254,0.0,0.07306476369405886,1.2515943432994288,3.5980430795607785,0.7381864136513583
cheddar cheese,Snack,117.33600621971394,6.790250539503443,0.895398264232359,8.841378675121783,5.3,0.0,0.09742496794600897,0.2,9.885985492368484,Moyen,Moyen,,0.23148053868199445,0.03052424521505009,0.6781584780458328,0.0,0.0830306809087213,1.1733600621971394,3.3382974362763247,0.7292620129082644
parmesan cheese,Lunch,69.33336592993092,6.110593560654522,0.6123332716509077,4.470935575687391,2.7,0.0,0.04590740160316787,0.2,5.201989971037106,Faible,Moyen,,0.35253407305777934,0.03532690240009481,0.5803615483126894,0.0,0.06621247183800437,0.6933336592993092,3.7540863868234213,0.7498351786670826
romano cheese,Breakfast,19.51543204140667,1.51173658057403,0.20242164211981778,1.2715885012978998,0.9,0.0,0.08437246002341695,0.008,1.593361873617121,Faible,Faible,,0.30985458070369604,0.04148955171844391,0.5864228832329408,0.0,0.43233492094605186,0.1951543204140667,1.3103688030055238,0.744762205379657
parmesan cheese grated,Lunch,20.513411422546916,1.4173923694791903,0.7034134521573243,1.3859890511816115,0.8,0.0,0.06944797122497677,0.043,1.1136538141843417,Faible,Faible,,0.2763835368358881,0.13716166528864426,0.6080851495446004,0.0,0.338547456817387,0.20513411422546915,1.2050448590564202,0.7334905128624258
port salut cheese,Snack,454.17178322949155,29.77012132253204,0.8066460407987583,33.6756306425988,22.0,0.0,0.7816267951971049,0.7,60.81828653322886,Élevé,Élevé,,0.26219260954783835,0.0071043254452034625,0.667326078606071,0.0,0.17209933596927474,4.541717832294916,5.878420481965224,0.7357912118466358
swiss cheese,Lunch,99.18561513067358,6.463117787766775,0.42366005979535876,7.6706929354289235,4.6,0.0,0.0,0.057,9.710068008823388,Faible,Moyen,,0.260647381743411,0.01708554430865062,0.6960307261479072,0.0,0.0,0.9918561513067359,3.4885155655690174,0.7361896216747545
goat cheese hard,Breakfast,115.7550064341901,8.752212231048533,0.5638477931579204,9.543849691260665,7.0,0.0,0.6165555659437777,0.076,8.29811208427753,Moyen,Moyen,,0.302439174772613,0.01948417802930844,0.7420382852135312,0.0,0.5326378981771368,1.157550064341901,4.1631252567105665,0.7353388156360857
gouda cheese,Meal,91.37541083743483,6.149810681991674,0.5904421149054632,8.57915241670173,4.9,0.0,0.583346175394515,0.2,10.679396134388123,Faible,Moyen,,0.26921074535599343,0.02584687075144081,0.8450016278742842,0.0,0.6384053780365068,0.9137541083743482,3.401051685590711,0.7368530547973212
