Food Category,Meal Type,Calories,Protein,Carbs,Fat,Saturated Fat,Fiber,Sugar,Sodium,Water
Grains,Breakfast,470.0,2.0,13.2,27.4,3.425563033873343,5.3,34.8,608.0,464.0
Fruits,Snack,455.0,41.3,19.6,42.7,3.425563033873343,9.8,15.5,942.0,757.0
DUCK,Snack,288.16438356164383,19.67855390113163,40.61089696247766,19.495898153662896,3.425563033873343,3.817492555002025,17.67285587016081,415.2783204288267,351.6871506849315
CRACKERS,Snack,288.16438356164383,19.67855390113163,40.61089696247766,19.495898153662896,3.425563033873343,3.817492555002025,17.67285587016081,415.2783204288267,351.6871506849315
Meat,Breakfast,123.0,42.0,66.0,19.7,3.425563033873343,2.4,45.7,985.0,667.0
LAMB,Snack,195.0,19.17,0.0,12.56,5.813,0.0,0.0,61.0,68.46
POLLOCK,Snack,118.0,24.92,0.0,1.26,0.17,0.0,0.0,110.0,72.03
Dairy,Lunch,236.0,22.4,31.5,24.7,3.425563033873343,4.1,35.7,718.0,989.0
RICE,Breakfast,288.16438356164383,19.67855390113163,40.61089696247766,19.495898153662896,3.425563033873343,3.817492555002025,17.67285587016081,415.2783204288267,351.6871506849315
Beverages,Breakfast,106.0,48.0,8.2,2.6,3.425563033873343,7.2,23.3,763.0,488.0
CRAB,Lunch,288.16438356164383,19.67855390113163,40.61089696247766,19.495898153662896,3.425563033873343,3.817492555002025,17.67285587016081,415.2783204288267,351.6871506849315
Meat,Dinner,567.0,38.9,60.9,24.7,3.425563033873343,0.2,24.7,575.0,247.0
Fruits,Breakfast,60.0,34.9,9.3,22.7,3.425563033873343,7.3,27.8,192.0,560.0
BEANS,Breakfast,127.0,8.67,22.8,0.5,0.072,7.400000095,0.319999993,2.0,66.94
Vegetables,Breakfast,422.0,23.4,13.7,25.0,3.425563033873343,2.2,27.0,462.0,208.0
TURKEY,Breakfast,196.0,18.11,0.0,13.11,3.66,0.0,0.0,66.0,67.78
LOUIS RICH,Dinner,288.16438356164383,19.67855390113163,40.61089696247766,19.495898153662896,3.425563033873343,3.817492555002025,17.67285587016081,415.2783204288267,351.6871506849315
CHICKEN,Dinner,288.16438356164383,19.67855390113163,40.61089696247766,19.495898153662896,3.425563033873343,3.817492555002025,17.67285587016081,415.2783204288267,351.6871506849315
Fruits,Dinner,86.0,45.4,41.9,19.2,3.425563033873343,9.6,40.7,177.0,860.0
RAISINS,Dinner,288.16438356164383,19.67855390113163,40.61089696247766,19.495898153662896,3.425563033873343,3.817492555002025,17.67285587016081,415.2783204288267,351.6871506849315
CAKE,Breakfast,288.16438356164383,19.67855390113163,40.61089696247766,19.495898153662896,3.425563033873343,3.817492555002025,17.67285587016081,415.2783204288267,351.6871506849315
GAME MEAT,Snack,288.16438356164383,19.67855390113163,40.61089696247766,19.495898153662896,3.425563033873343,3.817492555002025,17.67285587016081,415.2783204288267,351.6871506849315
PIZZA,Snack,288.16438356164383,19.67855390113163,40.61089696247766,19.495898153662896,3.425563033873343,3.817492555002025,17.67285587016081,415.2783204288267,351.6871506849315
Vegetables,Snack,379.0,27.7,29.6,16.6,3.425563033873343,6.7,41.9,379.0,827.0
Grains,Snack,318.0,17.5,18.6,49.8,3.425563033873343,3.7,48.3,584.0,702.0
Grains,Snack,100.0,45.8,29.1,34.2,3.425563033873343,5.7,4.6,148.0,780.0
FAST FOODS,Breakfast,288.16438356164383,19.67855390113163,40.61089696247766,19.495898153662896,3.425563033873343,3.817492555002025,17.67285587016081,415.2783204288267,351.6871506849315
CEREALS RTE,Dinner,337.0,11.37,78.76,2.21,0.45,12.0,0.939999998,6.0,6.1
Beverages,Snack,130.0,47.7,6.8,17.6,3.425563033873343,7.5,46.6,33.0,986.0
Dairy,Dinner,61.0,31.6,65.7,29.7,3.425563033873343,2.9,37.4,763.0,770.0
PORK,Breakfast,288.16438356164383,19.67855390113163,40.61089696247766,19.495898153662896,3.425563033873343,3.817492555002025,17.67285587016081,415.2783204288267,351.6871506849315
No Category,Snack,288.16438356164383,19.67855390113163,40.61089696247766,19.495898153662896,3.425563033873343,3.817492555002025,17.67285587016081,415.2783204288267,351.6871506849315
Meat,Dinner,478.0,10.0,18.3,47.1,3.425563033873343,1.4,12.0,241.0,727.0
MUSHROOMS,Dinner,288.16438356164383,19.67855390113163,40.61089696247766,19.495898153662896,3.425563033873343,3.817492555002025,17.67285587016081,415.2783204288267,351.6871506849315
Grains,Dinner,94.0,32.4,26.3,11.9,3.425563033873343,9.1,12.4,23.0,745.0
CEREALS,Dinner,288.16438356164383,19.67855390113163,40.61089696247766,19.495898153662896,3.425563033873343,3.817492555002025,17.67285587016081,415.2783204288267,351.6871506849315
Dairy,Lunch,290.0,9.1,75.5,6.4,3.425563033873343,4.9,14.0,328.0,903.0
SOUP,Lunch,288.16438356164383,19.67855390113163,40.61089696247766,19.495898153662896,3.425563033873343,3.817492555002025,17.67285587016081,415.2783204288267,351.6871506849315
