Food Category,Meal Type,Protein,Carbs,Fat,Fiber,Sugar,Sodium,Water,Calories,Saturated Fat
Meat,Lunch,42.4,83.7,1.5,1.5,12.7,752,478,173,0.34
Fruits,Lunch,39.2,13.8,3.2,2.6,12.2,680,466,66,0.92
Meat,Breakfast,27.1,79.1,25.8,3.2,44.7,295,635,226,5.11
Fruits,Snack,43.4,47.1,16.1,6.5,44.1,307,379,116,3.72
Fruits,Lunch,33.9,75.8,47.0,7.8,19.4,358,471,500,10.17
Grains,Dinner,31.2,6.8,39.5,5.1,0.7,300,727,387,14.13
Vegetables,Dinner,28.2,12.4,20.2,2.8,37.8,933,733,138,5.32
Snacks,Snack,36.8,17.8,15.0,9.6,36.4,185,386,69,3.92
Fruits,Breakfast,6.7,7.0,23.4,6.4,46.9,336,931,568,5.34
Grains,Snack,19.3,62.7,31.8,6.8,40.3,887,662,204,6.23
Grains,Lunch,40.6,13.9,12.2,9.3,44.7,530,624,108,3.29
Vegetables,Dinner,34.4,21.0,10.1,9.1,18.5,66,799,117,2.65
Beverages,Snack,20.1,32.7,8.9,7.0,42.4,500,661,147,1.93
Snacks,Lunch,23.7,89.2,3.1,6.3,31.3,342,607,468,0.6
Meat,Lunch,27.5,32.4,9.4,0.5,24.6,180,724,157,2.21
Meat,Lunch,15.8,36.5,33.1,2.1,27.6,134,421,385,6.94
Grains,Lunch,36.3,76.4,24.9,2.9,37.6,269,338,297,5.22
Fruits,Breakfast,42.4,54.5,45.2,8.2,20.3,507,463,274,10.61
Beverages,Lunch,24.0,96.2,6.8,0.9,17.5,305,618,353,1.37
Meat,Breakfast,4.3,23.2,31.9,9.5,28.2,373,416,569,5.99
Grains,Dinner,28.1,8.3,38.9,3.7,43.2,653,224,217,10.62
Grains,Breakfast,32.8,45.9,27.5,7.5,5.1,435,255,492,7.18
Fruits,Snack,21.1,85.0,45.1,1.7,46.8,422,876,222,8.53
Grains,Snack,38.0,64.7,39.1,9.5,2.1,322,786,335,10.77
Snacks,Breakfast,25.9,27.4,39.2,1.5,47.3,338,751,552,9.06
Dairy,Breakfast,18.0,24.9,31.0,8.2,43.6,744,244,252,6.88
Fruits,Lunch,19.0,93.3,11.8,5.7,20.0,970,967,141,2.3
Grains,Lunch,43.1,56.8,21.9,9.4,18.1,452,791,336,5.16
Dairy,Breakfast,37.8,25.5,15.6,1.2,1.0,555,863,315,5.02
Beverages,Dinner,44.1,25.7,21.9,4.5,36.7,888,455,553,5.59
Grains,Breakfast,18.1,24.9,16.5,0.2,13.0,346,452,496,3.95
Grains,Lunch,14.6,21.9,41.4,2.7,46.5,947,868,142,9.03
Grains,Breakfast,4.0,62.8,42.7,1.7,31.2,87,248,71,7.37
Fruits,Dinner,32.5,23.8,35.1,9.3,32.0,389,942,595,8.73
Fruits,Dinner,7.7,35.0,44.2,5.3,8.7,21,685,165,9.41
Dairy,Snack,27.5,63.4,25.4,1.6,9.5,360,927,568,5.83
Dairy,Snack,41.2,71.7,6.0,7.8,14.8,893,665,437,1.38
Grains,Breakfast,45.0,40.9,31.6,8.8,0.8,372,823,195,9.92
Meat,Snack,33.4,70.0,27.3,6.6,44.3,864,846,71,5.68
Fruits,Snack,13.7,89.5,33.8,8.0,3.9,509,728,271,7.64
Dairy,Snack,34.1,87.5,47.0,3.3,17.0,172,786,353,10.08
Vegetables,Dinner,32.6,49.5,30.3,9.4,23.5,771,663,219,6.86
Beverages,Breakfast,47.4,80.3,10.1,9.0,44.3,525,985,171,2.18
Meat,Lunch,43.1,35.6,15.6,0.2,33.1,496,506,539,3.81
